1, Test Method 'AdminPages.Reports.Quotation.QuotationTCs.VerifyThatUserCanPaginateTheResult' failed. Please investigate and open a new Issue if needed.
2, Test Method 'AdminPages.Reports.Quotation.QuotationTCs.VerifyThatUserCanSearchWithAllFields' failed. Please investigate and open a new Issue if needed.
3, Test Method 'AdminPages.Reports.Quotation.QuotationTCs.VerifyThatUserCanSearchWithBranchAndAgency' failed. Please investigate and open a new Issue if needed.
4, Test Method 'AdminPages.Reports.Quotation.QuotationTCs.VerifyThatUserCanSearchWithBranchAndAgencyWithSpecificDate' failed. Please investigate and open a new Issue if needed.
5, Test Method 'AdminPages.Reports.Quotation.QuotationTCs.VerifyThatUserCanSearchWithBranchAndAgencyWithTravelDate' failed. Please investigate and open a new Issue if needed.
6, Test Method 'AdminPages.Reports.Quotation.QuotationTCs.VerifyThatUserCanSearchWithEmailID' failed. Please investigate and open a new Issue if needed.
7, Test Method 'AdminPages.Reports.Quotation.QuotationTCs.VerifyThatUserCanSearchWithMandatoryFieldOnly' failed. Please investigate and open a new Issue if needed.
8, Test Method 'AdminPages.Reports.Quotation.QuotationTCs.VerifyThatUserCanSearchWithName' failed. Please investigate and open a new Issue if needed.
9, Test Method 'AdminPages.Reports.Quotation.QuotationTCs.VerifyThatUserCanSearchWithQuotesNo' failed. Please investigate and open a new Issue if needed.
10, Test Method 'AdminPages.Reports.Quotation.QuotationTCs.VerifyThatUserCanSearchWithTodayAndNoDataMessageShowsCorrectly' failed. Please investigate and open a new Issue if needed.
